Time (s);Identifier;Duration
7.2890625000e+00;33024;7.0000000000e+00
1.9289062500e+01;33026;7.0000000000e+00
3.1289062500e+01;33027;7.0000000000e+00
4.3289062500e+01;33025;7.0000000000e+00
5.5289062500e+01;33026;7.0000000000e+00
6.7289062500e+01;33025;7.0000000000e+00
7.9289062500e+01;33024;7.0000000000e+00
9.1289062500e+01;33027;7.0000000000e+00
1.0328906250e+02;33025;7.0000000000e+00
1.1528906250e+02;33026;7.0000000000e+00
1.2728906250e+02;33027;7.0000000000e+00
1.3928906250e+02;33024;7.0000000000e+00
1.5128906250e+02;33026;7.0000000000e+00
1.6328906250e+02;33024;7.0000000000e+00
1.7528906250e+02;33027;7.0000000000e+00
1.8728906250e+02;33025;7.0000000000e+00
1.9928906250e+02;33024;7.0000000000e+00
2.1128906250e+02;33027;7.0000000000e+00
2.2328906250e+02;33025;7.0000000000e+00
2.3528906250e+02;33026;7.0000000000e+00
2.4728906250e+02;33027;7.0000000000e+00
2.5928906250e+02;33024;7.0000000000e+00
2.7128906250e+02;33025;7.0000000000e+00
2.8328906250e+02;33026;7.0000000000e+00
2.9528906250e+02;33025;7.0000000000e+00
3.0728906250e+02;33027;7.0000000000e+00
3.1928906250e+02;33026;7.0000000000e+00
3.3128906250e+02;33024;7.0000000000e+00
3.4328906250e+02;33027;7.0000000000e+00
3.5528906250e+02;33026;7.0000000000e+00
3.6728906250e+02;33024;7.0000000000e+00
3.7928906250e+02;33025;7.0000000000e+00
3.9029687500e+02;32770;0.0000000000e+00
3.9029687500e+02;33284;0.0000000000e+00
