Time (s);Identifier;Duration
2.0093750000e+01;33024;7.0000000000e+00
3.2093750000e+01;33026;7.0000000000e+00
4.4093750000e+01;33027;7.0000000000e+00
5.6093750000e+01;33025;7.0000000000e+00
6.8093750000e+01;33026;7.0000000000e+00
8.0093750000e+01;33025;7.0000000000e+00
9.2093750000e+01;33024;7.0000000000e+00
1.0409375000e+02;33027;7.0000000000e+00
1.1609375000e+02;33025;7.0000000000e+00
1.2809375000e+02;33026;7.0000000000e+00
1.4009375000e+02;33027;7.0000000000e+00
1.5209375000e+02;33024;7.0000000000e+00
1.6409375000e+02;33026;7.0000000000e+00
1.7609375000e+02;33024;7.0000000000e+00
1.8809375000e+02;33027;7.0000000000e+00
2.0009375000e+02;33025;7.0000000000e+00
2.1209375000e+02;33024;7.0000000000e+00
2.2409375000e+02;33027;7.0000000000e+00
2.3609375000e+02;33025;7.0000000000e+00
2.4809375000e+02;33026;7.0000000000e+00
2.6009375000e+02;33027;7.0000000000e+00
2.7209375000e+02;33024;7.0000000000e+00
2.8409375000e+02;33025;7.0000000000e+00
2.9609375000e+02;33026;7.0000000000e+00
3.0809375000e+02;33025;7.0000000000e+00
3.2009375000e+02;33027;7.0000000000e+00
3.3209375000e+02;33026;7.0000000000e+00
3.4409375000e+02;33024;7.0000000000e+00
3.5609375000e+02;33027;7.0000000000e+00
3.6809375000e+02;33026;7.0000000000e+00
3.8009375000e+02;33024;7.0000000000e+00
3.9209375000e+02;33025;7.0000000000e+00
4.0310156250e+02;32770;0.0000000000e+00
4.0310156250e+02;33284;0.0000000000e+00
