Time (s);Identifier;Duration
1.6921875000e+01;33024;7.0000000000e+00
2.8921875000e+01;33026;7.0000000000e+00
4.0921875000e+01;33027;7.0000000000e+00
5.2921875000e+01;33025;7.0000000000e+00
6.4921875000e+01;33026;7.0000000000e+00
7.6921875000e+01;33025;7.0000000000e+00
8.8921875000e+01;33024;7.0000000000e+00
1.0092187500e+02;33027;7.0000000000e+00
1.1292187500e+02;33025;7.0000000000e+00
1.2492187500e+02;33026;7.0000000000e+00
1.3692187500e+02;33027;7.0000000000e+00
1.4892187500e+02;33024;7.0000000000e+00
1.6092187500e+02;33026;7.0000000000e+00
1.7292187500e+02;33024;7.0000000000e+00
1.8492187500e+02;33027;7.0000000000e+00
1.9692187500e+02;33025;7.0000000000e+00
2.0892187500e+02;33024;7.0000000000e+00
2.2092187500e+02;33027;7.0000000000e+00
2.3292187500e+02;33025;7.0000000000e+00
2.4492187500e+02;33026;7.0000000000e+00
2.5692187500e+02;33027;7.0000000000e+00
2.6892187500e+02;33024;7.0000000000e+00
2.8092187500e+02;33025;7.0000000000e+00
2.9292187500e+02;33026;7.0000000000e+00
3.0492187500e+02;33025;7.0000000000e+00
3.1692187500e+02;33027;7.0000000000e+00
3.2892187500e+02;33026;7.0000000000e+00
3.4092187500e+02;33024;7.0000000000e+00
3.5292187500e+02;33027;7.0000000000e+00
3.6492187500e+02;33026;7.0000000000e+00
3.7692187500e+02;33024;7.0000000000e+00
3.8892187500e+02;33025;7.0000000000e+00
3.9992968750e+02;32770;0.0000000000e+00
3.9992968750e+02;33284;0.0000000000e+00
