Time (s);Identifier;Duration
1.3062500000e+01;33024;7.0000000000e+00
2.5062500000e+01;33026;7.0000000000e+00
3.7062500000e+01;33027;7.0000000000e+00
4.9062500000e+01;33025;7.0000000000e+00
6.1062500000e+01;33026;7.0000000000e+00
7.3062500000e+01;33025;7.0000000000e+00
8.5062500000e+01;33024;7.0000000000e+00
9.7062500000e+01;33027;7.0000000000e+00
1.0906250000e+02;33025;7.0000000000e+00
1.2106250000e+02;33026;7.0000000000e+00
1.3306250000e+02;33027;7.0000000000e+00
1.4506250000e+02;33024;7.0000000000e+00
1.5706250000e+02;33026;7.0000000000e+00
1.6906250000e+02;33024;7.0000000000e+00
1.8106250000e+02;33027;7.0000000000e+00
1.9306250000e+02;33025;7.0000000000e+00
2.0506250000e+02;33024;7.0000000000e+00
2.1706250000e+02;33027;7.0000000000e+00
2.2906250000e+02;33025;7.0000000000e+00
2.4106250000e+02;33026;7.0000000000e+00
2.5306250000e+02;33027;7.0000000000e+00
2.6506250000e+02;33024;7.0000000000e+00
2.7706250000e+02;33025;7.0000000000e+00
2.8906250000e+02;33026;7.0000000000e+00
3.0106250000e+02;33025;7.0000000000e+00
3.1306250000e+02;33027;7.0000000000e+00
3.2506250000e+02;33026;7.0000000000e+00
3.3706250000e+02;33024;7.0000000000e+00
3.4906250000e+02;33027;7.0000000000e+00
3.6106250000e+02;33026;7.0000000000e+00
3.7306250000e+02;33024;7.0000000000e+00
3.8506250000e+02;33025;7.0000000000e+00
3.9607031250e+02;32770;0.0000000000e+00
3.9607031250e+02;33284;0.0000000000e+00
